C	FAR1	-- HNN -33.3377 -70.2994 2770.0 100.00 4.279910e+05    DU/M/S**2 COMMENT
C	FAR1	-- HNZ -33.3377 -70.2994 2770.0 100.00 4.279910e+05    DU/M/S**2 COMMENT
C	FSR	00 BNE -33.4785 -70.6940  781.0  50.00 5.099010e+05    DU/M/S**2 COMMENT
C	FSR	00 BNN -33.4785 -70.6940  781.0  50.00 5.099010e+05    DU/M/S**2 COMMENT
C	FSR	00 BNZ -33.4785 -70.6940  781.0  50.00 5.099010e+05    DU/M/S**2 COMMENT
C	GO01	-- BHE -19.6685 -69.1942 3809.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO01	-- BHN -19.6685 -69.1942 3809.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO01	-- BHZ -19.6685 -69.1942 3809.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO01	-- HNE -19.6685 -69.1942 3809.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO01	-- HNN -19.6685 -69.1942 3809.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO01	-- HNZ -19.6685 -69.1942 3809.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO01	EP BDF -19.6685 -69.1942 3809.0  40.00 1.570190e+06    DU/M/S COMMENT
C	GO01	EP BDO -19.6685 -69.1942 3809.0  40.00 4.000000e+03    DU/M/S COMMENT
C	GO02	-- BHE -25.1626 -69.5904 2550.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO02	-- BHN -25.1626 -69.5904 2550.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO02	-- BHZ -25.1626 -69.5904 2550.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO02	-- HNE -25.1626 -69.5904 2550.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO02	-- HNN -25.1626 -69.5904 2550.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO02	-- HNZ -25.1626 -69.5904 2550.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO02	EP BDF -25.1626 -69.5904 2550.0  40.00 1.570190e+06    DU/M/S COMMENT
C	GO02	EP BDO -25.1626 -69.5904 2550.0  40.00 4.000000e+03    DU/M/S COMMENT
C	GO03	-- BHE -27.5937 -70.2347  730.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO03	-- BHN -27.5937 -70.2347  730.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO03	-- BHZ -27.5937 -70.2347  730.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO03	-- HNE -27.5937 -70.2347  730.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO03	-- HNN -27.5937 -70.2347  730.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO03	-- HNZ -27.5937 -70.2347  730.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO03	EP BDF -27.5937 -70.2347  730.0  40.00 1.570190e+06    DU/M/S COMMENT
C	GO03	EP BDO -27.5937 -70.2347  730.0  40.00 4.000000e+03    DU/M/S COMMENT
C	GO04	-- BHE -30.1727 -70.7993 2076.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO04	-- BHN -30.1727 -70.7993 2076.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO04	-- BHZ -30.1727 -70.7993 2076.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO04	-- HNE -30.1727 -70.7993 2076.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO04	-- HNN -30.1727 -70.7993 2076.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO04	-- HNZ -30.1727 -70.7993 2076.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO04	EP BDF -30.1727 -70.7993 2076.0  40.00 1.570190e+06    DU/M/S COMMENT
C	GO04	EP BDO -30.1727 -70.7993 2076.0  40.00 4.000000e+03    DU/M/S COMMENT
C	GO05	-- BHE -35.0099 -71.9303  488.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO05	-- BHN -35.0099 -71.9303  488.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO05	-- BHZ -35.0099 -71.9303  488.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO05	-- HNE -35.0099 -71.9303  488.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO05	-- HNN -35.0099 -71.9303  488.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO05	-- HNZ -35.0099 -71.9303  488.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO05	EP BDF -35.0099 -71.9303  488.0  40.00 1.570190e+06    DU/M/S COMMENT
C	GO05	EP BDO -35.0099 -71.9303  488.0  40.00 4.000000e+03    DU/M/S COMMENT
